Date,Close
2020-10-07,141.767
2020-10-08,141.973
2020-10-09,144.667
2020-10-12,147.433
2020-10-13,148.883
2020-10-14,153.767
2020-10-15,149.627
2020-10-16,146.557
2020-10-19,143.61
2020-10-20,140.647
2020-10-21,140.88
2020-10-22,141.93
2020-10-23,140.21
2020-10-26,140.093
2020-10-27,141.56
2020-10-28,135.34
2020-10-29,136.943
2020-10-30,129.347
2020-11-02,133.503
2020-11-03,141.3
2020-11-04,140.327
2020-11-05,146.03
2020-11-06,143.317
2020-11-09,140.42
2020-11-10,136.787
2020-11-11,139.043
2020-11-12,137.253
2020-11-13,136.167
2020-11-16,136.03
2020-11-17,147.203
2020-11-18,162.213
2020-11-19,166.423
2020-11-20,163.203
2020-11-23,173.95
2020-11-24,185.127
2020-11-25,191.333
2020-11-26,191.333
2020-11-27,195.253
2020-11-30,189.2
2020-12-01,194.92
2020-12-02,189.607
2020-12-03,197.793
2020-12-04,199.68
2020-12-07,213.92
2020-12-08,216.627
2020-12-09,201.493
2020-12-10,209.023
2020-12-11,203.33
2020-12-14,213.277
2020-12-15,211.083
2020-12-16,207.59
2020-12-17,218.633
2020-12-18,231.667
2020-12-21,216.62
2020-12-22,213.447
2020-12-23,215.327
2020-12-24,220.59
2020-12-25,220.59
2020-12-28,221.23
2020-12-29,221.997
2020-12-30,231.593
2020-12-31,235.223
2021-01-01,235.223
2021-01-04,243.257
2021-01-05,245.037
2021-01-06,251.993
2021-01-07,272.013
2021-01-08,293.34
2021-01-11,270.397
2021-01-12,283.147
2021-01-13,284.803
2021-01-14,281.667
2021-01-15,275.387
2021-01-18,275.387
2021-01-19,281.517
2021-01-20,283.483
2021-01-21,281.663
2021-01-22,282.213
2021-01-25,293.6
2021-01-26,294.363
2021-01-27,288.053
2021-01-28,278.477
2021-01-29,264.51
2021-02-01,279.937
2021-02-02,290.93
2021-02-03,284.897
2021-02-04,283.33
2021-02-05,284.077
2021-02-08,287.807
2021-02-09,283.153
2021-02-10,268.273
2021-02-11,270.553
2021-02-12,272.04
2021-02-15,272.04
2021-02-16,265.407
2021-02-17,266.05
2021-02-18,262.46
2021-02-19,260.433
2021-02-22,238.167
2021-02-23,232.947
2021-02-24,247.34
2021-02-25,227.407
2021-02-26,225.167
2021-03-01,239.477
2021-03-02,228.813
2021-03-03,217.733
2021-03-04,207.147
2021-03-05,199.317
2021-03-08,187.667
2021-03-09,224.527
2021-03-10,222.687
2021-03-11,233.2
2021-03-12,231.243
2021-03-15,235.98
2021-03-16,225.627
2021-03-17,233.937
2021-03-18,217.72
2021-03-19,218.29
2021-03-22,223.333
2021-03-23,220.72
2021-03-24,210.09
2021-03-25,213.463
2021-03-26,206.237
2021-03-29,203.763
2021-03-30,211.873
2021-03-31,222.643
2021-04-01,220.583
2021-04-02,220.583
2021-04-05,230.35
2021-04-06,230.54
2021-04-07,223.657
2021-04-08,227.933
2021-04-09,225.673
2021-04-12,233.993
2021-04-13,254.107
2021-04-14,244.077
2021-04-15,246.283
2021-04-16,246.593
2021-04-19,238.21
2021-04-20,239.663
2021-04-21,248.04
2021-04-22,239.897
2021-04-23,243.133
2021-04-26,246.067
2021-04-27,234.913
2021-04-28,231.467
2021-04-29,225.667
2021-04-30,236.48
2021-05-03,228.3
2021-05-04,224.533
2021-05-05,223.647
2021-05-06,221.18
2021-05-07,224.123
2021-05-10,209.68
2021-05-11,205.733
2021-05-12,196.63
2021-05-13,190.563
2021-05-14,196.58
2021-05-17,192.277
2021-05-18,192.623
2021-05-19,187.82
2021-05-20,195.593
2021-05-21,193.627
2021-05-24,202.147
2021-05-25,201.563
2021-05-26,206.377
2021-05-27,210.283
2021-05-28,208.407
2021-05-31,208.407
2021-06-01,207.967
2021-06-02,201.707
2021-06-03,190.947
2021-06-04,199.683
2021-06-07,201.71
2021-06-08,201.197
2021-06-09,199.593
2021-06-10,203.373
2021-06-11,203.297
2021-06-14,205.897
2021-06-15,199.787
2021-06-16,201.623
2021-06-17,205.533
2021-06-18,207.77
2021-06-21,206.943
2021-06-22,207.903
2021-06-23,218.857
2021-06-24,226.607
2021-06-25,223.957
2021-06-28,229.573
2021-06-29,226.92
2021-06-30,226.567
2021-07-01,225.973
2021-07-02,226.3
2021-07-05,226.3
2021-07-06,219.86
2021-07-07,214.883
2021-07-08,217.603
2021-07-09,218.983
2021-07-12,228.567
2021-07-13,222.847
2021-07-14,217.793
2021-07-15,216.867
2021-07-16,214.74
2021-07-19,215.407
2021-07-20,220.167
2021-07-21,218.43
2021-07-22,216.42
2021-07-23,214.46
2021-07-26,219.207
2021-07-27,214.927
2021-07-28,215.66
2021-07-29,225.783
2021-07-30,229.067
2021-08-02,236.557
2021-08-03,236.58
2021-08-04,236.973
2021-08-05,238.21
2021-08-06,233.033
2021-08-09,237.92
2021-08-10,236.663
2021-08-11,235.94
2021-08-12,240.75
2021-08-13,239.057
2021-08-16,228.723
2021-08-17,221.903
2021-08-18,229.663
2021-08-19,224.49
2021-08-20,226.753
2021-08-23,235.433
2021-08-24,236.163
2021-08-25,237.067
2021-08-26,233.72
2021-08-27,237.307
2021-08-30,243.637
2021-08-31,245.24
2021-09-01,244.697
2021-09-02,244.13
2021-09-03,244.523
2021-09-06,244.523
2021-09-07,250.973
2021-09-08,251.29
2021-09-09,251.62
2021-09-10,245.423
2021-09-13,247.667
2021-09-14,248.163
2021-09-15,251.943
2021-09-16,252.33
2021-09-17,253.163
2021-09-20,243.39
2021-09-21,246.46
2021-09-22,250.647
2021-09-23,251.213
2021-09-24,258.13
2021-09-27,263.787
2021-09-28,259.187
2021-09-29,260.437
2021-09-30,258.493
2021-10-01,258.407
2021-10-04,260.51
2021-10-05,260.197
2021-10-06,260.917
2021-10-07,264.537
2021-10-08,261.83
2021-10-11,263.98
2021-10-12,268.573
2021-10-13,270.36
2021-10-14,272.773
2021-10-15,281.01
2021-10-18,290.037
2021-10-19,288.09
2021-10-20,288.6
2021-10-21,298.0
2021-10-22,303.227
2021-10-25,341.62
2021-10-26,339.477
2021-10-27,345.953
2021-10-28,359.013
2021-10-29,371.333
2021-11-01,402.863
2021-11-02,390.667
2021-11-03,404.62
2021-11-04,409.97
2021-11-05,407.363
2021-11-08,387.647
2021-11-09,341.167
2021-11-10,355.983
2021-11-11,354.503
2021-11-12,344.473
2021-11-15,337.797
2021-11-16,351.577
2021-11-17,363.003
2021-11-18,365.46
2021-11-19,379.02
2021-11-22,385.623
2021-11-23,369.677
2021-11-24,372.0
2021-11-25,372.0
2021-11-26,360.64
2021-11-29,378.997
2021-11-30,381.587
2021-12-01,365.0
2021-12-02,361.533
2021-12-03,338.323
2021-12-06,336.337
2021-12-07,350.583
2021-12-08,356.32
