Model,MSE,RMSE,MAE,TrainTimeSec,Complexity
LSTM,432.975142947749,20.8080547612637,16.06113422930001,46.83879995346069,High
"ARIMA(5,1,0)",16869.13922380094,129.8812504705777,115.38526780503983,0.09150218963623047,Medium
Exp. Smoothing,15230.62184542948,123.41240555725943,108.08883465208324,0.06452012062072754,Low
